title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
Eternal Sunshine of the Spotless Mind,108 min, Drama; Romance; Sci-Fi,Michel Gondry,Charlie Kaufman;Michel Gondry;Focus Features;Anonymous Content;This Is That Productions,Jim Carrey;Kate Winslet;Gerry Robert Byrne;Elijah Wood;Thomas Jay Ryan;Mark Ruffalo;Jane Adams;David Cross;Kirsten Dunst;Tom Wilkinson;Ryan Whitney;Debbon Ayer;Amir Ali Said;Brian Price;Paulie Litt,,"610,354"
Full Metal Jacket,116 min, Drama; War,Stanley Kubrick,Gustav Hasford;Stanley Kubrick;Natant;Stanley Kubrick Productions;Warner Bros.,Matthew Modine;Adam Baldwin;Vincent D'Onofrio;R. Lee Ermey;Dorian Harewood;Kevyn Major Howard;Arliss Howard;Ed O'Ross;John Terry;Kieron Jecchinis;Kirk Taylor;Tim Colceri;Jon Stafford;Bruce Boa;Ian Tyler,,"441,216"
Amadeus,180 min, Biography; Drama; History; Music,Milos Forman,Peter Shaffer;Peter Shaffer;AMLF;The Saul Zaentz Company,F. Murray Abraham;Tom Hulce;Elizabeth Berridge;Roy Dotrice;Simon Callow;Christine Ebersole;Jeffrey Jones;Charles Kay;Kenneth McMillan;Kenny Baker;Lisbeth Bartlett;Barbara Bryne;Martin Cavina;Roderick Cook;Milan Demjanenko,,"248,057"
The Sting,129 min, Comedy; Crime; Drama,George Roy Hill,David S. Ward;Zanuck/Brown Productions;Universal Pictures,Paul Newman;Robert Redford;Robert Shaw;Charles Durning;Ray Walston;Eileen Brennan;Harold Gould;John Heffernan;Dana Elcar;Jack Kehoe;Dimitra Arliss;Robert Earl Jones;James Sloyan;Charles Dierkop;Lee Paul,,"160,963"
Singin' in the Rain,103 min, Comedy; Musical; Romance,Stanley Donen;Gene Kelly,Adolph Green;Betty Comden;Metro-Goldwyn-Mayer (MGM);Loew's,Gene Kelly;Donald O'Connor;Debbie Reynolds;Jean Hagen;Millard Mitchell;Cyd Charisse;Douglas Fowley;Rita Moreno,,"137,260"
Ladri di biciclette,80 min, Drama,Vittorio De Sica,Cesare Zavattini;Luigi Bartolini;Produzioni De Sica (PDS);Produzioni De Sica,Lamberto Maggiorani;Enzo Staiola;Lianella Carell;Gino Saltamerenda;Vittorio Antonucci;Giulio Chiari;Elena Altieri;Carlo Jachino;Michele Sakara;Emma Druetti;Fausto Guerzoni,,"85,218"
2001: A Space Odyssey,146 min, Mystery; Sci-Fi,Stanley Kubrick,Stanley Kubrick;Arthur C. Clarke;Metro-Goldwyn-Mayer (MGM);Stanley Kubrick Productions,Keir Dullea;Gary Lockwood;William Sylvester;Daniel Richter;Leonard Rossiter;Margaret Tyzack;Robert Beatty;Sean Sullivan;Douglas Rain;Frank Miller;Bill Weston;Ed Bishop;Glenn Beck;Alan Gifford;Ann Gillis,,"387,707"
Snatch.,104 min, Comedy; Crime,Guy Ritchie,Guy Ritchie;Columbia Pictures Corporation;SKA Films,Benicio Del Toro;Dennis Farina;Vinnie Jones;Brad Pitt;Rade Serbedzija;Jason Statham;Alan Ford;Mike Reid;Robbie Gee;Lennie James;Ewen Bremner;Jason Flemyng;Ade;William Beck;Andy Beckwith,,"554,361"
Monty Python and the Holy Grail,91 min, Adventure; Comedy; Fantasy,Terry Gilliam;Terry Jones,Graham Chapman;John Cleese;Michael White Productions;National Film Trustee Company;Python (Monty) Pictures,Graham Chapman;John Cleese;Eric Idle;Terry Gilliam;Terry Jones;Michael Palin;Connie Booth;Carol Cleveland;Neil Innes;Bee Duffell;John Young;Rita Davies;Avril Stewart;Sally Kinghorn;Mark Zycon,,"353,522"
The Kid,50 min, Comedy; Drama; Family,Charles Chaplin,Charles Chaplin;Charles Chaplin Productions,Carl Miller;Edna Purviance;Jackie Coogan;Charles Chaplin,,"58,875"
